GTDB	MICROBE	MICR_NT_PLUS_COMPL_EUK	INVERTEBRATE	PLANT	VERTEBRATE_OTHER	VERTEBRATE_MAMMALIAN	NT	COMBINED
@endo_154:+:503:535:32e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_153:-:4218:4250:32e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_681:+:9477:9511:34e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_805:+:1471:1525:54e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_566:+:4052:4089:37e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_224:+:6791:6850:59e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_839:-:8534:8572:38e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_306:-:6070:6108:38e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_750:+:8316:8353:37e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_406:-:2129:2168:39e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_725:-:4465:4523:58e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_821:-:7453:7502:49e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_250:+:9657:9708:51e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_638:+:3111:3172:61e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_373:-:1148:1202:54e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_329:-:7286:7329:43e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_918:-:718:749:31e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_27:+:9722:9789:67e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_24:+:9682:9733:51e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_105:-:7059:7103:44e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_249:+:593:633:40e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_551:+:4556:4605:49e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_894:+:2898:2982:84e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_657:-:774:826:52e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_545:-:2550:2581:31e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_279:+:7961:7992:31e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_857:-:4931:4971:40e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_513:+:6772:6811:39e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_309:-:2216:2274:58e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_115:-:8663:8717:54e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_203:+:4689:4763:74e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_101:-:4546:4582:36e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_535:+:3180:3211:31e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_241:+:2260:2306:46e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_45:-:1864:1910:46e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_584:-:2418:2458:40e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_551:+:4069:4128:59e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_184:+:9256:9321:65e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_266:-:6370:6407:37e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_448:+:1042:1098:56e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_18:-:3538:3590:52e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_609:+:1493:1538:45e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_356:-:9039:9086:47e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_52:-:9276:9318:42e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_970:+:3771:3810:39e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_991:-:4226:4270:44e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_974:-:8485:8548:63e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_826:+:197:250:53e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_202:+:9726:9759:33e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_632:+:641:676:35e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_720:+:648:686:38e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_473:+:2279:2315:36e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_184:-:492:525:33e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_634:+:7061:7140:79e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_395:+:1529:1574:45e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_15:-:8734:8773:39e1_0-2/1	0	0	0	0	0	0	0	0	0
